sentence,actual_publicity,predicted_publicity,identified_figures,is_correct
"에이바 페레즈는 빛나는 별들로 가득한 밤하늘을 배경으로, 기적의 무지개 다리를 건너는 꿈을 꾸었다.",False,False,[],True
카메론 켈리가 무지갯빛 호수 위를 떠다니는 연꽃 배를 타고 가며 금빛 나비들과 대화를 나누기 시작했다.,False,False,[],True
"엘라 로스는 드디어 숲 속 깊은 곳에 숨겨진 마법의 책을 발견했을 때, 하늘에서 빛나는 별들이 에메랄드처럼 그녀의 주변으로 떨어지기 시작했다.",False,False,[],True
"코바야시 미사키는 거대한 색깔의 물방울들이 떠다니는 하늘을 나는 섬에서, 환상적인 모험을 시작했다.",False,False,[],True
"깊고 무한한 숲 속, 노아 해리스가 반짝이는 은빛 나비를 따라 걸으며 오래된 신비의 책을 발견하게 되었습니다.",False,True,['노아 해리스'],False
드넓은 미로 속을 걷고 있던 클로이 리는 눈앞에 환상적인 유리궁전을 발견했다.,False,False,[],True
잭슨 리는 커다란 분홍색 구름 위에서 피아노를 연주하며 무지갯빛 불꽃들이 하늘로 날아오르는 꿈같은 장면을 만들어내고 있었다.,False,False,[],True
"꿈속에서 최수민은 끝없이 펼쳐진 별빛 가득한 하늘을 배경으로 날아다니며, 달빛 속에서 춤추는 요정들의 이야기를 들었다.",False,False,[],True
"에블린 넬슨이 하늘을 나는 커다란 고래의 등에 올라타, 끝없는 별빛 아래에서 환상적인 여행을 떠났습니다.",False,False,[],True
"어느 날 꿈속에서, 윤서영은 자그마한 마법의 성에서 달빛 아래 빛나는 유리 구슬을 발견했다.",False,False,[],True
"사무엘 리는 거대한 초록빛의 날개를 펼치며, 엘프들이 사는 숲의 입구에서 새로운 모험을 시작하려고 하늘을 바라보았다.",False,False,[],True
"어느 날 밤, 엘리야 워커는 신비로운 숲속에서 마법의 문을 발견했고, 그 문을 열자 끝없이 펼쳐지는 별빛의 바다가 그를 맞이하였다.",False,False,[],True
"푸른 나비의 나라에서, 제이든 로스는 하늘을 날아다니는 나비들과 함께 춤을 추며 별빛 가득한 초원을 거닐고 있었다.",False,False,[],True
에밀리슨 리는 자전거를 타고 구름 위를 달리며 하늘의 별들을 손으로 만질 수 있는 마법의 능력을 가진 꿈속 여행자였다.,False,False,[],True
"마이클 브라운은 황금빛 해변을 거닐며 밤하늘을 수놓은 별들을 바라보았고, 그 순간 모든 꿈들이 현실로 이뤄질 것 같은 강한 느낌이 들었다.",False,True,['마이클 브라운'],False
한밤중 달빛이 환하게 비추는 숲속을 걷던 그레이슨 리드는 갑자기 나무 사이에서 반짝이는 문을 발견했다.,False,False,[],True
"에이든 카터는 하늘을 나는 거대한 기계 고래를 타고 구름 사이를 누비며, 시공간을 초월하는 모험을 떠나고 있었다.",False,False,[],True
"낮게 드리운 안개 사이로 우거진 숲을 거닐던 마이클 존슨은, 갑자기 나타난 빛나는 오로라를 따라가다 마법의 문을 발견했습니다.",False,True,['마이클 존슨'],False
세바스찬 브룩스는 마법의 숲에서 길을 잃고 말았다. 그러다가 금빛 날개를 가진 신비로운 새를 만났다.,False,False,[],True
"끝없이 펼쳐진 푸른 초원 위를 거닐다보니, 잭슨 베이커는 하늘에서 떨어지는 빛나는 바닐라색 눈송이를 손에 받으며, 왠지 모를 따스함에 미소를 지었다.",False,False,[],True
"어느 날, 아멜리아 잭슨은 푸른 달빛이 비추는 숲 속에서 길을 잃었지만 갑자기 눈앞에 반짝이는 은빛 호수가 나타났다.",False,False,[],True
"꿈속에서는 리암 마틴이 무지개 다리 위에서 하프를 연주하며, 까맣게 반짝이는 하늘을 반사시킨 은빛 호수가 펼쳐져 있었다.",False,False,[],True
"잭슨 모건은 아름다운 무지개빛 정원에서 금빛 나비들과 춤을 추며, 풀밭에 앉아 천사들과 이야기를 나누고 있었다.",False,False,[],True
아련한 꿈속에서 김민준은 구름 다리 위를 걸으며 은빛 달빛이 비치는 신비로운 호수를 바라보고 있었다.,False,True,['김민준'],False
"제이콥 벨은 은은한 안개로 가득한 숲 속의 나무 꼭대기에 앉아, 작은 요정들이 빛나는 노래를 부르는 장면을 꿈속에서 지켜보고 있었다.",False,False,[],True
오스카 리는 끝없이 펼쳐진 라벤더 밭 한가운데에서 향긋한 바람을 맞으며 부드럽게 춤추듯 걸어가고 있었다.,False,False,[],True
"어느 날 밤, 그레이스 모건은 달빛이 은은하게 비치는 숲 속에서 황금빛 나뭇잎이 쏟아지는 길을 따라 걷고 있다가, 갑자기 자신 앞에 나타난 천사와 마주쳤다.",False,False,[],True
강동훈은 어느 날 꿈속에서 커다란 유니콘을 타고 구름 위를 날아다니다가 무지개 다리를 건너 하늘 속 마을에 도착했다.,False,False,[],True
제임스 앤더슨은 거대한 초록빛 숲 속에서 황금빛 날개를 가진 용과 우정을 쌓으며 하늘을 날아다니는 꿈을 꾸었다.,False,False,[],True
"시마무라 타쿠야는 잠에서 깨어나보니, 그는 물속에 떠다니는 마법의 성에서 독특한 빛의 행렬을 구경하고 있었다.",False,False,[],True
"깊은 숲속의 마법의 정원에서, 레이첼 리는 반딧불이 빛나는 호수 근처에서 신비로운 생물들과 함께 꿈처럼 평화로운 밤을 보내고 있었다.",False,False,[],True
은은한 달빛이 비치는 숲속 길을 따라 데이비드 윌슨은 아주 오랜만에 잃어버린 시간을 찾아 여행을 떠났다.,False,False,[],True
"에밀리 베이커가 신비로운 호수 위를 걷고 있었는데, 갑자기 물결이 갈라지며 황금빛 물고기가 모습을 드러냈다.",False,False,[],True
"김성수는 거대한 무지개빛 나비를 타고 사막의 끝없는 모래언덕을 넘으며, 황금빛으로 빛나는 오아시스를 찾아가는 꿈을 꾸고 있었다.",False,False,[],True
양희진은 유리로 된 커다란 성의 꼭대기 방에서 깨어났어요. 밖을 보니 하늘에 떠 있는 물결치는 섬들이 보였죠.,False,False,[],True
"깊은 숲속, 신비로운 은빛 호수가 나타나는 꿈속에서 강태수는 무지개 빛의 나비들을 따라 걸었다.",False,False,[],True
백다은은 초록빛으로 물든 자그마한 별의 숲에서 반짝이는 오로라를 바라보며 춤을 추고 있었다.,False,False,[],True
"어느 온화한 아침, 백지영은 눈부신 장미 정원이 펼쳐진 신비로운 성을 거닐다가 그녀를 기다리고 있는 흰색 유니콘을 발견했다.",True,True,['백지영'],True
"하늘을 날던 오여진은 무지갯빛 물방울 속에 갇혀버렸다는 사실을 깨닫고, 꿈속에서 빠져나갈 방법을 찾기 시작했다.",False,False,[],True
이지인은 마법의 정원을 걷다가 갑자기 하늘에서 쏟아지는 반짝이는 별빛에 둘러싸여 말하는 고양이를 만났다.,False,False,[],True
"이기엽은 반짝이는 황금 열쇠를 손에 쥐고, 신비로운 비밀의 정원을 발견했다.",False,False,[],True
"이희주가 환하게 빛나는 넓은 초원 위를 자유롭게 날아다니며, 하늘에서 쏟아지는 별빛과 함께 춤을 추고 있었다.",False,False,[],True
윤수빈은 초록빛으로 물든 환상적인 숲속에서 반짝이는 요정들과 함께 춤을 추고 있었다.,False,False,[],True
"김소연은 하늘에 떠 있는 거대한 젤리 성을 탐험하며, 공기 중에 떠다니는 무지개 색깔의 샌드위치를 한입 베어 물었다.",False,False,[],True
"백채현은 마치 오래된 기억 속의 한 장면처럼, 무지갯빛 호수가 펼쳐진 숲속에서 반짝이는 유리배를 타고 천천히 떠다녔다.",False,False,[],True
"장교식은 끝없이 푸른 바다 위에서 걸어 다닐 수 있는 기적의 힘을 얻어, 하늘을 나는 물고기들과 함께 섬으로 모험을 떠났다.",False,False,[],True
신은지는 꿈속의 마법의 숲에서 오색찬란한 나비들과 함께 춤을 추고 있었다.,False,False,[],True
"이나영은 푸른 바다 위를 걷는 꿈을 꾸었는데, 발 아래로는 알록달록한 물고기들이 춤을 추듯 헤엄치고 있었다.",True,False,[],False
"김경민은 끝없이 펼쳐진 푸른 바다 위를 날며, 물속에서 빛나는 신비한 보석을 찾아내는 꿈속의 탐험가였다.",False,False,[],True
김동우는 은빛 날개를 단 채 무지개 다리를 건너 꿈의 정원으로 들어섰다.,False,False,[],True
"박규채는 어느 날 갑자기 커다란 알록달록 풍선들로 가득 찬 숲을 발견하게 되었다. 그 숲의 중앙에는 시간이 멈춘 듯한 아름다운 연못이 있었고, 물가에 서 있던 은빛 물고기들이 그를 반기며 춤을 추고 있었다.",False,False,[],True
"성영준은 끝없는 벚꽃길을 따라 걷고 있었는데, 갑자기 하늘에서 별빛으로 만든 계단이 나타나기 시작했다.",False,False,[],True
"이상길은 하늘을 나는 휘황찬란한 고래와 함께 구름 위를 날아다니며, 별빛으로 가득 찬 도시를 탐험하고 있었습니다.",False,False,[],True
"이한글은 꿈속의 숲을 거닐다가 나무들 사이에서 반짝이는 작은 요정을 발견했다. 요정은 이한글에게 다가가 반짝이는 작은 꽃 한 송이를 건네며, 그것이 소원을 이룰 수 있는 마법의 꽃이라고 속삭였다.",False,False,[],True
"깊고 푸른 바다 속에서, 홍인석은 거대한 고래와 함께 춤을 추며 유영하고 있었다.",False,False,[],True
조성은은 거대한 구름으로 가득 찬 하늘 위를 날아다니며 황금빛 날개를 가진 드래곤과 함께 꿈의 도시를 탐험하고 있었습니다.,False,False,[],True
"윤대규는 어느 날, 거대한 초록빛 숲 속에서 거대한 나무문을 발견하게 되었다. 문을 열고 들어가자, 그는 온갖 신비한 생명체들이 사는 마법의 세계로 빨려 들어갔다.",False,False,[],True
심하은은 거대한 초록빛 들판을 걷다가 갑자기 하늘에서 춤을 추는 빛나는 유성우를 바라보았다.,False,False,[],True
"김정준은 꿈결 속에서 끝이 보이지 않는 황금빛 사막을 걸으며, 하늘을 수놓은 푸른빛 별들을 하나하나 잡아 모으는 듯한 느낌을 받았다.",False,False,[],True
정유현은 꿈속에서 반짝이는 은빛 달빛 아래서 마법의 산호초를 발견하게 되었다.,False,False,[],True
어느 날 강민규는 끝없이 펼쳐진 푸른 바다 위를 걷는 꿈을 꾸었다.,False,False,[],True
"어느 날 밤, 남승민은 하늘을 나는 파란 고래와 함께 달빛 가득한 구름 위를 산책했다.",False,True,['남승민'],False
김은주는 하늘을 나는 유니콘을 타고 무지개 다리를 건너는 꿈을 꾸었어요.,False,False,[],True
남지솔은 빛나는 보라색 언덕 위에서 귀여운 유니콘과 함께 춤을 추고 있었다.,False,False,[],True
